SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
061,09,001,00000,04720,00000,1,A,Bethel town,Connecticut,18584,18584,18640,18947,19172,19302,19359,19513,19716,19802
061,09,001,00000,08070,00000,0,C,Bridgeport town,Connecticut,144229,144236,144923,146363,147288,148168,148225,147890,147016,146579
071,09,001,08000,08070,00000,1,A,Bridgeport city,Connecticut,144229,144236,144923,146363,147288,148168,148225,147890,147016,146579
061,09,001,00000,08980,00000,1,A,Brookfield town,Connecticut,16452,16443,16473,16627,16787,16869,17030,17106,17134,17133
061,09,001,00000,18500,00000,0,C,Danbury town,Connecticut,80893,80903,81355,82222,82899,83852,83908,84500,85385,85246
071,09,001,18430,18500,00000,1,A,Danbury city,Connecticut,80893,80903,81355,82222,82899,83852,83908,84500,85385,85246
061,09,001,00000,18850,00000,1,A,Darien town,Connecticut,20732,20732,20778,20995,21175,21414,21732,21829,21893,21887
061,09,001,00000,23890,00000,1,A,Easton town,Connecticut,7490,7490,7505,7569,7614,7632,7635,7624,7596,7579
061,09,001,00000,26620,00000,1,A,Fairfield town,Connecticut,59404,59404,59729,60429,60860,61175,61479,61561,61697,62105
061,09,001,00000,33620,00000,1,A,Greenwich town,Connecticut,61171,61194,61340,61991,62441,62653,62724,62799,62818,62855
061,09,001,00000,48620,00000,1,A,Monroe town,Connecticut,19479,19480,19512,19685,19807,19841,19836,19786,19689,19635
061,09,001,00000,50580,00000,1,A,New Canaan town,Connecticut,19738,19752,19790,19997,20166,20263,20336,20399,20395,20376
061,09,001,00000,50860,00000,1,A,New Fairfield town,Connecticut,13881,13871,13899,14031,14118,14153,14131,14100,14050,14017
061,09,001,00000,52980,00000,0,A,Newtown town,Connecticut,27560,27568,27620,27866,28115,28160,28018,28004,27969,27965
071,09,001,52910,52980,00000,1,A,Newtown borough,Connecticut,1941,1934,1937,1956,1970,1976,1972,1969,1964,1965
071,09,001,99990,52980,00000,1,F,Balance of Newtown town,Connecticut,25619,25634,25683,25910,26145,26184,26046,26035,26005,26000
061,09,001,00000,56060,00000,0,C,Norwalk town,Connecticut,85603,85619,86009,86759,87386,88012,88251,88550,88904,89005
071,09,001,55990,56060,00000,1,A,Norwalk city,Connecticut,85603,85619,86009,86759,87386,88012,88251,88550,88904,89005
061,09,001,00000,63480,00000,1,A,Redding town,Connecticut,9158,9158,9173,9262,9317,9334,9313,9304,9258,9233
061,09,001,00000,63970,00000,1,A,Ridgefield town,Connecticut,24638,24634,24682,24916,25085,25205,25190,25226,25156,25187
061,09,001,00000,68170,00000,0,C,Shelton town,Connecticut,39559,39559,39629,40017,40298,41054,41256,41230,41456,41397
071,09,001,68100,68170,00000,1,A,Shelton city,Connecticut,39559,39559,39629,40017,40298,41054,41256,41230,41456,41397
061,09,001,00000,68310,00000,1,A,Sherman town,Connecticut,3581,3581,3589,3625,3653,3675,3670,3664,3653,3643
061,09,001,00000,73070,00000,0,C,Stamford town,Connecticut,122643,122630,122839,124182,125222,126708,128277,128794,129654,130824
071,09,001,73000,73070,00000,1,A,Stamford city,Connecticut,122643,122630,122839,124182,125222,126708,128277,128794,129654,130824
061,09,001,00000,74190,00000,1,A,Stratford town,Connecticut,51384,51384,51472,51927,52229,52302,52817,52694,52507,52345
